181,2,2,59,3,29
271,3,43,244,3,18
631,7,3,242,3,65
811,9,3,212,2,46
991,11,7,197,3,10
1621,18,2,1489,3,937
2251,25,7,2014,7,195
2341,26,7,809,2,423
2521,28,17,2060,3,47
2791,31,53,2214,2,137
2971,33,11,2223,3,29
3061,34,13,2589,3,9
3331,37,3,1177,3,93
4051,45,17,1024,9,23
4231,47,3,2242,2,5
4591,51,11,2776,5,59
4861,54,11,3260,4,341
4951,55,7,1582,3,49
5581,62,19,4528,2,73
5851,65,2,3816,5,68
6121,68,7,2234,2,36
6301,70,17,6030,3,6
6481,72,7,5880,2,17
6571,73,3,155,3,186
6661,74,11,2144,3,37
6841,76,31,4106,4,8
7561,84,13,5087,2,24
7741,86,7,5233,3,93
8101,90,29,3547,2,139
8641,96,17,7644,5,52
8731,97,2,6999,3,541
8821,98,2,4912,2,23
9001,100,7,7453,5,33
9181,102,2,7417,5,235
9631,107,3,3947,3,20
9721,108,7,4264,3,160
9901,110,2,7611,2,338
10531,117,3,2745,3,29
10891,121,2,10420,3,6
11161,124,7,2000,3,402
11701,130,23,8079,2,35
11971,133,79,5031,2,76
12421,138,7,1953,2,63
12601,140,11,980,3,8
12781,142,2,2417,2,13
13411,149,2,9304,3,58
13591,151,3,10243,2,394
13681,152,23,8701,2,21
15031,167,3,7771,4,191
15121,168,11,11389,2,5
15661,174,2,6624,3,102
16111,179,7,3147,3,231
16381,182,2,6303,4,28
16561,184,7,421,2,376
16651,185,2,15194,4,461
16831,187,11,8040,2,10
17191,191,3,2643,7,38
17551,195,3,11147,2,45
18181,202,2,9261,4,70
18451,205,3,844,3,10
18541,206,29,17148,8,167
19081,212,17,3328,2,19
19441,216,13,14381,3,32
19801,220,13,19506,4,62
20071,223,3,17734,3,89
20341,226,2,1665,2,255
20521,228,11,7808,3,14
20611,229,2,10816,2,86
21961,244,17,15069,3,18
22861,254,2,5718,2,70
23041,256,11,10615,6,132
23311,259,3,774,2,100
23581,262,7,10700,3,193
23671,263,3,14186,3,23
24121,268,13,344,3,90
24481,272,11,4290,4,28
24841,276,29,5151,2,24
25111,279,3,22381,4,6
25471,283,31,24485,3,36
25561,284,11,18430,2,297
25741,286,19,5984,2,124
26371,293,3,18502,3,15
26821,298,2,26240,2,643
27091,301,2,23639,2,12
27271,303,17,21602,2,51
27361,304,7,1726,2,406
27541,306,19,10694,2,340
27631,307,7,5765,3,111
27901,310,2,8771,4,77
28351,315,13,20014,2,125
28621,318,13,14391,2,78
28711,319,3,1971,3,8
29611,329,3,19909,3,51
30241,336,11,23228,2,121
30781,342,2,8127,3,59
30871,343,3,16928,6,15
31051,345,11,20057,2,349
31321,348,7,19789,5,47
31771,353,107,16685,7,121
32491,361,2,7819,2,30
32941,366,2,17682,2,258
33211,369,2,18654,4,29
33391,371,13,4188,2,152
33751,375,19,16882,3,183
33931,377,2,30260,2,216
34471,383,13,18512,2,567
34651,385,2,33020,2,449
35281,392,23,16464,2,81
35461,394,7,8187,3,89
35731,397,2,8816,4,238
35911,399,61,9798,5,107
36451,405,7,15681,7,97
36541,406,31,20893,2,172
36721,408,37,23968,3,126
37171,413,3,1580,3,36
37441,416,17,4388,3,97
38971,433,2,7322,2,63
39241,436,7,7161,2,57
39511,439,3,37356,5,13
40231,447,3,29416,4,323
40591,451,13,30133,2,122
40771,453,17,14323,4,204
41131,457,31,20599,2,148
41491,461,13,14024,5,52
41851,465,31,20573,3,1229
41941,466,2,38577,6,49
42571,473,2,19365,2,20
42751,475,7,25777,5,195
42841,476,23,12640,2,48
43201,480,23,9266,3,7
43651,485,2,33699,2,222
44101,490,13,25492,3,55
44281,492,7,28977,2,40
44371,493,2,8113,3,174
45181,502,2,27485,2,117
45541,506,13,24558,5,10
45631,507,29,29897,2,50
46171,513,3,38033,3,114
46441,516,7,28374,3,85
47251,525,19,40492,2,47
47701,530,2,44447,2,8
47791,531,7,29724,6,59
48871,543,3,18202,2,5
49411,549,2,24166,5,82
49681,552,17,5581,5,87
50311,559,3,23966,3,125
50671,563,11,41479,2,35
51031,567,3,19354,2,88
52021,578,2,46900,2,466
53101,590,2,48735,2,88
53281,592,11,27790,2,153
53551,595,3,23546,7,22
54001,600,11,18177,2,70
54181,602,2,40420,5,197
54361,604,7,11675,2,75
54541,606,2,7826,4,55
54631,607,11,25478,5,42
55171,613,17,47122,3,16
55441,616,59,32113,10,130
55621,618,2,29184,2,53
56431,627,3,16679,3,52
56701,630,2,10173,2,69
57241,636,11,44959,6,7
57331,637,2,29939,4,119
