37,1,2,26,2,8
73,2,5,8,2,13
109,3,11,45,2,7
181,5,2,48,2,34
397,11,5,362,2,9
433,12,5,198,5,45
541,15,2,129,2,35
577,16,5,363,5,21
613,17,2,65,5,25
757,21,2,27,2,19
829,23,2,125,3,72
937,26,5,614,2,47
1009,28,11,374,2,33
1117,31,2,996,2,53
1153,32,5,650,2,42
1297,36,17,931,2,89
1549,43,2,1273,7,39
1621,45,2,1436,2,33
1657,46,11,70,5,11
1693,47,2,1259,2,22
1801,50,11,1727,5,92
1873,52,37,1758,2,17
2017,56,5,294,3,25
2053,57,2,1855,2,26
2089,58,7,1262,3,74
2161,60,23,593,2,4
2269,63,2,2186,5,70
2341,65,7,1106,5,40
2377,66,5,721,2,31
2521,70,17,1845,3,69
2557,71,2,835,3,72
2593,72,7,1137,3,29
2917,81,5,247,2,22
2953,82,13,800,5,45
3061,85,13,2499,2,24
3169,88,7,97,2,114
3313,92,11,2189,2,11
3457,96,7,722,3,99
3529,98,17,3080,5,79
3637,101,2,2941,2,10
3673,102,5,2521,3,45
3709,103,2,498,2,35
3853,107,2,2713,2,22
3889,108,11,1890,11,189
4177,116,5,3074,5,26
4357,121,2,1318,2,154
4789,133,2,3109,2,60
4861,135,11,4541,2,8
4933,137,2,2131,2,144
4969,138,11,4782,6,34
5077,141,2,3447,5,11
5113,142,19,5041,11,62
5437,151,5,2271,2,72
5581,155,19,2458,2,23
5653,157,5,4912,2,58
5689,158,11,2419,2,4
5869,163,2,5091,2,30
6121,170,7,4968,2,6
6229,173,2,5298,2,18
6301,175,17,2977,5,22
6337,176,19,4824,3,58
6373,177,2,623,2,46
6481,180,7,80,2,17
6553,182,11,4608,5,11
6661,185,11,5312,2,33
6733,187,2,6113,2,10
6841,190,31,4032,2,6
6949,193,2,1942,2,8
7057,196,5,145,5,70
7129,198,7,5879,2,4
7237,201,2,1830,2,8
7309,203,19,3892,2,55
7417,206,5,2312,3,40
7489,208,7,5021,2,6
7561,210,13,1298,2,32
7669,213,2,5598,2,15
7741,215,7,2452,2,55
7993,222,5,4748,2,15
8101,225,29,2217,2,25
8209,228,7,3265,3,29
8317,231,19,7030,2,23
8353,232,5,1736,3,25
8389,233,19,7697,2,25
8461,235,23,6684,6,14
8641,240,17,5068,2,95
8677,241,2,1378,2,38
8713,242,5,6175,3,25
8821,245,2,6384,2,12
8893,247,5,249,6,40
8929,248,11,4339,11,69
9001,250,7,5202,2,34
9109,253,17,3120,6,52
9181,255,2,1009,6,35
9397,261,2,6772,2,6
9433,262,5,926,2,4
9613,267,2,3086,2,68
9649,268,7,6233,3,13
9721,270,7,7796,3,34
9829,273,11,9080,3,24
9901,275,2,99,2,14
9973,277,11,1569,11,122
10009,278,11,8964,3,68
10333,287,5,6766,2,15
10369,288,13,833,2,4
10477,291,2,716,2,7
10513,292,7,6974,2,60
10657,296,7,6673,2,19
10729,298,7,8986,2,34
10837,301,2,6713,2,33
10909,303,2,9267,2,18
11161,310,7,7347,3,49
11197,311,2,4402,5,42
11593,322,5,9921,2,67
11701,325,23,7643,3,40
11953,332,5,8839,5,42
12097,336,5,190,5,23
12241,340,7,2933,5,70
12277,341,2,11877,2,18
12421,345,7,6558,5,57
12457,346,19,486,3,93
12601,350,11,11753,2,4
12637,351,2,6563,2,51
12781,355,2,9557,2,46
12853,357,5,6072,5,40
12889,358,13,8630,2,132
13033,362,5,10810,3,56
13177,366,5,10159,5,39
13249,368,7,10040,2,6
13537,376,7,419,2,4
13681,380,23,1925,2,20
13789,383,7,11362,5,26
13933,387,2,11798,3,15
14149,393,19,1652,2,95
14221,395,2,9375,7,72
14293,397,47,1840,2,71
14401,400,11,317,7,146
14437,401,5,9952,2,25
14653,407,2,3693,2,10
14797,411,2,851,2,17
14869,413,2,2867,2,9
15013,417,2,4963,3,32
15121,420,11,7292,2,6
15193,422,5,10602,3,71
15373,427,2,2507,3,29
15661,435,2,6823,2,12
15733,437,29,1321,2,36
15877,441,5,7337,2,26
15913,442,5,2099,5,50
16057,446,7,4688,3,37
16273,452,7,5145,5,21
16381,455,2,3393,2,97
16417,456,17,558,2,38
16453,457,2,1667,2,32
16561,460,7,13105,3,73
16633,462,19,12622,2,119
16741,465,11,10561,2,101
16921,470,17,12573,11,52
16993,472,13,16080,3,137
17029,473,17,11509,6,23
17137,476,5,12357,2,134
17209,478,19,2167,7,114
17317,481,2,6418,2,34
17389,483,2,3642,2,30
17497,486,5,4719,5,167
17569,488,11,12516,2,14
17713,492,7,11345,5,62
17749,493,2,10771,2,32
17929,498,11,15123,2,78
18181,505,2,6623,2,9
18217,506,7,8397,2,86
18253,507,5,9243,2,36
18289,508,13,15040,2,14
18397,511,13,2647,2,9
18433,512,5,14648,2,68
18541,515,29,2733,2,56
18757,521,2,14673,3,50
18793,522,5,2154,5,45
18973,527,2,16228,2,16
19009,528,23,1625,2,68
19081,530,17,4928,3,22
19333,537,2,14534,2,73
19441,540,13,19199,6,164
19477,541,11,15856,2,48
19801,550,13,2184,2,12
20089,558,7,8165,2,4
20161,560,13,13986,2,5
20233,562,5,3475,5,21
20269,563,2,5471,6,31
20341,565,2,2356,3,28
20521,570,11,20004,2,4
20593,572,5,143,11,260
20773,577,2,19353,5,23
20809,578,7,19576,7,184
21061,585,7,3375,2,9
21169,588,13,10710,6,53
21277,591,37,12957,2,69
21313,592,5,15817,3,29
21493,597,2,2543,2,10
21529,598,11,3972,3,13
21601,600,7,4185,3,66
21673,602,19,21283,2,70
21817,606,7,2440,2,56
21961,610,17,13998,6,68
21997,611,7,11605,8,39
22501,625,2,1132,2,35
22573,627,7,21884,3,17
22717,631,2,13339,2,12
22861,635,2,19117,5,23
23041,640,11,18959,3,15
23293,647,5,13288,2,9
23473,652,5,2770,5,46
23509,653,2,20188,3,28
23581,655,7,4685,2,97
23689,658,11,18210,2,5
23761,660,7,14985,2,63
23833,662,5,8772,5,275
23869,663,2,14848,7,318
23977,666,5,9276,3,38
24049,668,19,6657,2,204
24121,670,13,6333,2,14
24229,673,2,5122,2,25
24337,676,5,12508,15,74
24373,677,7,16475,7,94
24481,680,11,6299,2,104
24517,681,5,5385,2,34
24697,686,5,3067,5,35
24733,687,2,7461,2,86
24841,690,29,20173,3,174
24877,691,5,16355,6,43
25057,696,5,9201,2,301
25237,701,2,8117,2,37
25309,703,13,3072,2,43
25453,707,2,24248,2,34
25561,710,11,972,2,307
25633,712,5,1310,2,21
25741,715,19,24210,2,21
25849,718,7,21321,2,94
26029,723,19,23846,2,26
26209,728,11,24180,5,119
26317,731,13,16606,2,43
26497,736,5,9620,5,45
26641,740,7,588,2,35
26713,742,23,12901,2,41
26821,745,2,24408,6,25
26893,747,5,26141,6,44
27073,752,5,14860,2,4
27109,753,7,16114,7,59
27253,757,2,6344,2,19
27361,760,7,286,6,83
27397,761,2,9187,3,17
27541,765,19,26780,6,56
27793,772,5,16162,2,58
27901,775,2,6933,2,8
28081,780,19,1765,3,187
28297,786,5,11197,3,21
28477,791,2,13215,2,77
28513,792,5,12370,5,127
28549,793,2,7759,2,31
28621,795,13,5244,2,34
28657,796,5,22393,2,113
28729,798,37,21804,2,4
28837,801,2,8680,2,21
28909,803,2,10917,2,12
29017,806,5,1964,5,11
29269,813,13,11222,2,14
29629,823,7,8724,8,107
29881,830,7,16726,2,4
29917,831,2,25886,3,139
29989,833,2,6859,2,32
30097,836,31,22771,2,52
30133,837,5,966,2,33
30169,838,7,3469,3,112
30241,840,11,14577,3,95
30313,842,5,4373,2,4
30493,847,13,21936,2,18
30529,848,13,28544,3,146
30637,851,2,23021,2,9
30781,855,2,23460,2,18
30817,856,5,13471,2,57
30853,857,2,23638,2,7
31033,862,11,21676,5,60
31069,863,2,17844,2,8
31177,866,7,27062,7,69
31249,868,23,27862,9,47
31321,870,7,8340,2,4
31357,871,2,10608,2,10
31393,872,5,986,2,4
31573,877,5,22441,2,56
32077,891,2,15305,5,25
32257,896,23,27674,2,71
32401,900,7,24138,3,42
32653,907,2,9422,2,26
32797,911,2,17352,5,44
32833,912,5,5812,3,36
32869,913,19,13710,2,12
32941,915,2,7432,2,32
33013,917,5,17428,5,75
33049,918,29,23802,5,74
33301,925,2,3228,2,32
33409,928,7,24253,2,56
33589,933,2,2949,2,8
33769,938,11,24619,5,78
34057,946,5,15509,2,241
34129,948,11,5414,2,43
34273,952,5,21397,2,15
34381,955,17,26666,2,91
34849,968,7,14576,5,173
35281,980,23,32177,5,26
35317,981,5,325,6,39
35353,982,5,2782,5,44
35461,985,7,18318,2,13
35533,987,2,35344,2,38
35569,988,11,25379,3,21
35677,991,2,13788,5,21
36037,1001,2,33279,3,80
36073,1002,5,23605,2,30
