289,17,2,1,1,3,5,2,16,14,15,8
361,19,2,1,1,2,0,7,18,17,5,16
2809,53,2,1,1,5,28,40,52,48,49,5
5041,71,2,1,1,11,55,27,70,60,61,11
7921,89,2,1,1,6,2,45,88,83,84,6
11449,107,2,1,1,5,87,43,9,20,78,20
16129,127,2,1,1,3,0,107,125,3,60,21
26569,163,2,1,1,11,0,58,21,110,84,21
32041,179,2,1,1,7,60,119,178,172,140,30
38809,197,2,1,1,3,137,68,196,194,75,176
39601,199,2,1,1,6,0,92,198,193,11,30
54289,233,2,1,1,3,205,102,232,230,13,48
63001,251,2,1,1,19,201,100,250,232,37,91
72361,269,2,1,1,2,85,42,268,2,88,28
73441,271,2,1,1,21,0,242,270,250,257,75
94249,307,2,1,1,5,0,289,306,302,110,96
